Customer ID,Recency Score,Frequency Score,Monetary Score,Overall Score
GH-144252,5,5,5,5.0
RB-194651,5,5,5,5.0
RF-198402,5,5,5,5.0
TP-211304,5,5,5,5.0
TP-211303,5,5,5,5.0
EH-137651,5,5,5,5.0
TP-211301,5,5,5,5.0
KB-164051,5,5,5,5.0
RP-193901,5,5,5,5.0
BD-116352,5,5,5,5.0
JC-153853,5,5,5,5.0
DK-130901,5,5,5,5.0
DK-130902,5,5,5,5.0
NP-183254,5,5,5,5.0
JF-151901,5,5,5,5.0
NC-186251,5,5,5,5.0
NP-186853,5,5,5,5.0
JE-157151,5,5,5,5.0
Co-126401,5,5,5,5.0
DL-133152,5,5,5,5.0
JG-153101,5,5,5,5.0
DC-132853,5,5,5,5.0
DL-133301,5,5,5,5.0
SP-206201,5,5,5,5.0
SC-207252,5,5,5,5.0
BF-111704,5,5,5,5.0
WB-218504,5,5,5,5.0
CS-124602,5,5,5,5.0
BF-110051,5,5,5,5.0
BS-117552,5,5,5,5.0
JL-158354,5,5,5,5.0
JG-151602,5,5,5,5.0
NF-184752,5,5,5,5.0
SC-204403,5,5,5,5.0
PG-188952,5,5,5,5.0
NF-183852,5,5,5,5.0
DJ-134202,5,5,5,5.0
AB-101652,5,5,5,5.0
PK-190754,5,5,5,5.0
NH-186101,5,5,5,5.0
DK-129851,5,5,5,5.0
CW-119052,5,5,5,5.0
WB-218501,5,5,5,5.0
JG-158052,5,5,5,5.0
SC-202301,5,5,5,5.0
AA-106451,5,5,5,5.0
ZC-219102,5,5,5,5.0
JW-160751,5,5,5,5.0
PO-188503,5,5,5,5.0
JB-159251,5,5,5,5.0
AC-106151,5,5,5,5.0
BS-113653,5,5,5,5.0
MY-182951,5,5,5,5.0
JB-160003,5,5,5,5.0
AA-103152,5,5,5,5.0
JW-152201,5,5,5,5.0
SV-209351,5,5,5,5.0
BE-114551,5,5,5,5.0
JJ-157602,5,5,5,5.0
KA-165251,5,5,5,5.0
MY-182953,5,5,5,5.0
JW-152202,5,5,5,5.0
EM-142003,4,5,5,4.666666666666667
MC-174253,4,5,5,4.666666666666667
DB-134051,5,4,5,4.666666666666667
MC-174251,5,4,5,4.666666666666667
MC-175751,4,5,5,4.666666666666667
EM-141404,4,5,5,4.666666666666667
NM-184453,5,5,4,4.666666666666667
NS-185054,5,5,4,4.666666666666667
SP-206204,4,5,5,4.666666666666667
PG-188201,4,5,5,4.666666666666667
MG-178901,5,4,5,4.666666666666667
MG-178902,5,5,4,4.666666666666667
SJ-202152,5,4,5,4.666666666666667
DJ-135101,5,5,4,4.666666666666667
MG-182051,5,4,5,4.666666666666667
NF-185953,5,4,5,4.666666666666667
TB-215203,5,5,4,4.666666666666667
MA-175604,4,5,5,4.666666666666667
MC-175753,5,5,4,4.666666666666667
PF-192252,5,5,4,4.666666666666667
NM-185202,5,5,4,4.666666666666667
ME-173204,4,5,5,4.666666666666667
RB-197954,5,4,5,4.666666666666667
NS-186402,4,5,5,4.666666666666667
NS-186403,4,5,5,4.666666666666667
NS-185053,4,5,5,4.666666666666667
TC-212952,4,5,5,4.666666666666667
EM-140651,5,5,4,4.666666666666667
TC-211453,4,5,5,4.666666666666667
DB-129103,5,5,4,4.666666666666667
SR-207402,5,4,5,4.666666666666667
ME-173202,4,5,5,4.666666666666667
OT-187301,4,5,5,4.666666666666667
OT-187302,4,5,5,4.666666666666667
MC-176351,4,5,5,4.666666666666667
TC-111452,5,5,4,4.666666666666667
ME-180102,4,5,5,4.666666666666667
MF-182502,4,5,5,4.666666666666667
MG-176501,5,4,5,4.666666666666667
RD-194802,5,4,5,4.666666666666667
AR-105701,5,4,5,4.666666666666667
BE-113351,4,5,5,4.666666666666667
MG-176801,4,5,5,4.666666666666667
RB-194653,5,5,4,4.666666666666667
PF-192251,5,5,4,4.666666666666667
RD-194803,4,5,5,4.666666666666667
MG-176952,4,5,5,4.666666666666667
TC-214751,4,5,5,4.666666666666667
RB-193303,4,5,5,4.666666666666667
MW-182204,5,4,5,4.666666666666667
SO-203354,5,5,4,4.666666666666667
AS-100904,5,5,4,4.666666666666667
MY-182952,4,5,5,4.666666666666667
MP-179652,4,5,5,4.666666666666667
DR-128803,5,5,4,4.666666666666667
SW-207551,4,5,5,4.666666666666667
CS-121751,4,5,5,4.666666666666667
DR-129401,4,5,5,4.666666666666667
ES-140202,5,4,5,4.666666666666667
CS-122502,5,4,5,4.666666666666667
DR-129402,5,4,5,4.666666666666667
MZ-175151,4,5,5,4.666666666666667
DL-134952,5,4,5,4.666666666666667
PR-188803,5,5,4,4.666666666666667
DS-131803,5,4,5,4.666666666666667
SV-108152,5,5,4,4.666666666666667
DV-130451,4,5,5,4.666666666666667
PO-188501,4,5,5,4.666666666666667
DM-130151,5,4,5,4.666666666666667
PO-91951,4,5,5,4.666666666666667
CS-121301,5,4,5,4.666666666666667
DM-133452,5,4,5,4.666666666666667
BF-112752,5,4,5,4.666666666666667
MW-182351,5,4,5,4.666666666666667
BC-111252,4,5,5,4.666666666666667
BF-112753,5,5,4,4.666666666666667
BB-115452,4,5,5,4.666666666666667
MS-178303,4,5,5,4.666666666666667
MP-181751,5,4,5,4.666666666666667
CS-119504,5,5,4,4.666666666666667
DM-130154,4,5,5,4.666666666666667
MS-177702,4,5,5,4.666666666666667
MS-173653,4,5,5,4.666666666666667
DP-131652,4,5,5,4.666666666666667
MP-181754,5,4,5,4.666666666666667
BG-117402,5,5,4,4.666666666666667
MM-180552,5,4,5,4.666666666666667
PN-187751,5,4,5,4.666666666666667
DK-128354,5,5,4,4.666666666666667
AS-102852,5,4,5,4.666666666666667
RA-192854,5,5,4,4.666666666666667
MH-180252,4,5,5,4.666666666666667
TB-212502,5,5,4,4.666666666666667
RA-199153,5,4,5,4.666666666666667
MW-182202,4,5,5,4.666666666666667
SS-205901,5,5,4,4.666666666666667
TB-211753,4,5,5,4.666666666666667
TB-212803,4,5,5,4.666666666666667
NF-183851,4,5,5,4.666666666666667
AS-102251,4,5,5,4.666666666666667
TB-213553,4,5,5,4.666666666666667
EB-141703,5,5,4,4.666666666666667
CM-123851,4,5,5,4.666666666666667
EB-138402,5,4,5,4.666666666666667
ND-183704,5,4,5,4.666666666666667
CS-122504,5,5,4,4.666666666666667
NC-185354,5,4,5,4.666666666666667
BD-113204,4,5,5,4.666666666666667
CS-123554,5,5,4,4.666666666666667
MM-172603,5,4,5,4.666666666666667
SU-206654,5,5,4,4.666666666666667
DK-133754,5,5,4,4.666666666666667
DW-134801,4,5,5,4.666666666666667
DW-135402,4,5,5,4.666666666666667
BF-111702,4,5,5,4.666666666666667
PV-189853,4,5,5,4.666666666666667
ML-174101,4,5,5,4.666666666666667
DK-132254,5,4,5,4.666666666666667
Dp-132403,5,5,4,4.666666666666667
BH-117103,4,5,5,4.666666666666667
MK-181601,4,5,5,4.666666666666667
AP-107201,4,5,5,4.666666666666667
JJ-157601,4,5,5,4.666666666666667
TG-216402,5,4,5,4.666666666666667
GW-146052,5,5,4,4.666666666666667
HG-149651,4,5,5,4.666666666666667
KM-162251,5,4,5,4.666666666666667
CC-123704,4,5,5,4.666666666666667
JM-152651,4,5,5,4.666666666666667
JM-155351,5,5,4,4.666666666666667
KL-166454,4,5,5,4.666666666666667
RP-192701,5,4,5,4.666666666666667
HJ-148751,4,5,5,4.666666666666667
CC-122204,5,5,4,4.666666666666667
BP-111552,4,5,5,4.666666666666667
SE-201104,5,4,5,4.666666666666667
TG-216403,5,5,4,4.666666666666667
HJ-148752,5,4,5,4.666666666666667
SE-201102,4,5,5,4.666666666666667
RP-193904,4,5,5,4.666666666666667
HL-150401,5,4,5,4.666666666666667
RP-198551,5,5,4,4.666666666666667
BS-117553,5,5,4,4.666666666666667
AB-101054,4,5,5,4.666666666666667
KM-163754,4,5,5,4.666666666666667
AB-100604,4,5,5,4.666666666666667
TS-212051,4,5,5,4.666666666666667
JL-152352,5,4,5,4.666666666666667
VW-217751,4,5,5,4.666666666666667
BV-112452,4,5,5,4.666666666666667
TS-213403,4,5,5,4.666666666666667
GZ-144704,5,4,5,4.666666666666667
HA-149204,5,5,4,4.666666666666667
CC-124753,5,4,5,4.666666666666667
KM-166601,4,5,5,4.666666666666667
KN-164501,4,5,5,4.666666666666667
JG-151604,5,4,5,4.666666666666667
KN-163904,5,5,4,4.666666666666667
CC-124304,5,5,4,4.666666666666667
HG-148451,5,5,4,4.666666666666667
HG-148452,4,5,5,4.666666666666667
JM-152501,4,5,5,4.666666666666667
BT-113952,5,4,5,4.666666666666667
AG-103002,4,5,5,4.666666666666667
JF-154152,5,4,5,4.666666666666667
JC-153401,4,5,5,4.666666666666667
KA-165252,5,4,5,4.666666666666667
CB-120254,4,5,5,4.666666666666667
JB-154002,4,5,5,4.666666666666667
SC-207704,4,5,5,4.666666666666667
AC-106154,5,5,4,4.666666666666667
JE-157453,4,5,5,4.666666666666667
JE-157154,4,5,5,4.666666666666667
JC-153402,4,5,5,4.666666666666667
JE-157454,4,5,5,4.666666666666667
RW-95401,5,4,5,4.666666666666667
AC-104203,5,4,5,4.666666666666667
BW-112001,4,5,5,4.666666666666667
JS-156851,4,5,5,4.666666666666667
JP-61352,5,5,4,4.666666666666667
JE-156104,4,5,5,4.666666666666667
SB-201701,4,5,5,4.666666666666667
SC-208002,5,4,5,4.666666666666667
IM-150702,4,5,5,4.666666666666667
HM-149801,4,5,5,4.666666666666667
BP-111854,5,5,4,4.666666666666667
HM-149802,4,5,5,4.666666666666667
BT-116801,5,4,5,4.666666666666667
KD-164951,4,5,5,4.666666666666667
BT-116804,5,5,4,4.666666666666667
RR-193151,4,5,5,4.666666666666667
SD-204851,5,5,4,4.666666666666667
VP-217301,4,5,5,4.666666666666667
AF-108851,4,5,5,4.666666666666667
VB-217451,5,5,4,4.666666666666667
KC-165403,4,5,5,4.666666666666667
SC-208453,5,5,4,4.666666666666667
JE-161654,5,5,4,4.666666666666667
CB-125352,4,5,5,4.666666666666667
IG-150851,5,4,5,4.666666666666667
IG-50851,5,5,4,4.666666666666667
CB-124153,4,5,5,4.666666666666667
JL-152351,4,5,5,4.666666666666667
KT-164653,4,5,5,4.666666666666667
KW-165701,5,4,5,4.666666666666667
LH-171551,4,5,5,4.666666666666667
JK-156251,5,5,4,4.666666666666667
CJ-120103,4,5,5,4.666666666666667
LR-169154,5,4,5,4.666666666666667
YS-218804,5,4,5,4.666666666666667
CJ-118751,4,5,5,4.666666666666667
LP-170954,5,5,4,4.666666666666667
JK-156253,4,5,5,4.666666666666667
TM-214902,4,5,5,4.666666666666667
SC-202302,5,4,5,4.666666666666667
GA-147251,5,4,5,4.666666666666667
SC-203801,4,5,5,4.666666666666667
JH-159854,5,4,5,4.666666666666667
AI-108554,5,4,5,4.666666666666667
CC-126701,5,4,5,4.666666666666667
CG-125201,5,4,5,4.666666666666667
RF-197351,5,4,5,4.666666666666667
GD-145901,5,4,5,4.666666666666667
LS-169754,5,5,4,4.666666666666667
BM-117851,4,5,5,4.666666666666667
ZC-219101,4,5,5,4.666666666666667
LT-167653,4,5,5,4.666666666666667
LW-172154,5,4,5,4.666666666666667
AO-108101,4,5,5,4.666666666666667
SH-206352,5,4,5,4.666666666666667
AM-107052,5,4,5,4.666666666666667
AM-103602,5,4,5,4.666666666666667
LW-168252,5,4,5,4.666666666666667
LT-71101,4,5,5,4.666666666666667
RD-199003,5,5,4,4.666666666666667
BM-116504,4,5,5,4.666666666666667
SH-199754,5,5,4,4.666666666666667
FH-143653,4,5,5,4.666666666666667
FH-143654,5,4,5,4.666666666666667
RD-95851,4,5,5,4.666666666666667
TH-212352,5,4,5,4.666666666666667
ZC-219104,4,5,5,4.666666666666667
LS-172003,4,5,5,4.666666666666667
GG-146502,4,5,5,4.666666666666667
RE-94502,5,5,4,4.666666666666667
GM-146801,5,5,4,4.666666666666667
JH-158201,4,5,5,4.666666666666667
JH-158203,5,4,5,4.666666666666667
GM-144551,4,5,5,4.666666666666667
AH-106902,5,5,4,4.666666666666667
LC-171404,5,5,4,4.666666666666667
AH-100751,5,4,5,4.666666666666667
LC-171402,4,5,5,4.666666666666667
LC-168704,5,5,4,4.666666666666667
JH-154303,4,5,5,4.666666666666667
JH-159851,5,4,5,4.666666666666667
CC-23702,5,4,5,4.666666666666667
JH-154301,5,5,4,4.666666666666667
LB-167353,4,5,5,4.666666666666667
JL-151302,5,4,5,4.666666666666667
JG-158051,4,5,5,4.666666666666667
VW-217754,5,4,5,4.666666666666667
GT-147104,4,5,5,4.666666666666667
JH-159101,4,5,5,4.666666666666667
VM-216853,5,5,4,4.666666666666667
TR-213251,5,4,5,4.666666666666667
YC-218952,4,5,5,4.666666666666667
TP-215651,5,5,4,4.666666666666667
SC-203804,5,4,5,4.666666666666667
JK-160901,4,5,5,4.666666666666667
LF-171852,4,5,5,4.666666666666667
JK-160902,5,5,4,4.666666666666667
AH-102104,5,4,5,4.666666666666667
RF-198403,5,5,4,4.666666666666667
BT-113052,5,4,4,4.333333333333333
PL-189251,4,4,5,4.333333333333333
PB-91051,5,5,3,4.333333333333333
SC-202304,3,5,5,4.333333333333333
SB-201852,3,5,5,4.333333333333333
DB-130604,5,3,5,4.333333333333333
DA-134503,5,3,5,4.333333333333333
CV-128054,5,5,3,4.333333333333333
BV-112451,3,5,5,4.333333333333333
PG-188204,4,5,4,4.333333333333333
BS-18001,5,4,4,4.333333333333333
DB-130601,5,3,5,4.333333333333333
CS-124002,5,5,3,4.333333333333333
BS-116653,4,4,5,4.333333333333333
CS-125053,5,4,4,4.333333333333333
PC-190002,5,3,5,4.333333333333333
PK-190752,4,5,4,4.333333333333333
BS-113804,5,4,4,4.333333333333333
PF-191651,3,5,5,4.333333333333333
PM-189402,5,3,5,4.333333333333333
SB-202904,4,4,5,4.333333333333333
BS-116652,5,4,4,4.333333333333333
CS-124004,5,4,4,4.333333333333333
SC-200952,3,5,5,4.333333333333333
PP-189554,3,5,5,4.333333333333333
BW-10651,5,3,5,4.333333333333333
RB-194354,5,4,4,4.333333333333333
CC-126851,4,4,5,4.333333333333333
RK-193003,3,5,5,4.333333333333333
CC-22203,5,5,3,4.333333333333333
RH-95552,5,3,5,4.333333333333333
RA-199452,5,3,5,4.333333333333333
CD-119801,4,4,5,4.333333333333333
CD-119802,5,4,4,4.333333333333333
RH-195552,5,4,4,4.333333333333333
CM-121604,5,5,3,4.333333333333333
CD-122802,4,5,4,4.333333333333333
RB-193604,3,5,5,4.333333333333333
RH-194953,5,4,4,4.333333333333333
CD-127902,3,5,5,4.333333333333333
RB-194351,4,4,5,4.333333333333333
RF-198401,5,4,4,4.333333333333333
RA-192852,4,4,5,4.333333333333333
CG-125203,4,5,4,4.333333333333333
CM-119353,4,5,4,4.333333333333333
CH-120702,3,5,5,4.333333333333333
RE-194501,5,3,5,4.333333333333333
RD-99302,5,3,5,4.333333333333333
RB-197953,3,5,5,4.333333333333333
CK-122051,3,5,5,4.333333333333333
CL-127003,5,5,3,4.333333333333333
CK-122052,4,4,5,4.333333333333333
CL-118903,4,4,5,4.333333333333333
CK-122054,4,5,4,4.333333333333333
CK-125951,3,5,5,4.333333333333333
RD-197204,5,5,3,4.333333333333333
RD-197202,4,4,5,4.333333333333333
RL-196154,3,5,5,4.333333333333333
RM-193751,5,3,5,4.333333333333333
SA-208304,4,4,5,4.333333333333333
PP-189551,4,4,5,4.333333333333333
BW-111104,3,5,5,4.333333333333333
PO-188502,3,5,5,4.333333333333333
RW-195404,3,5,5,4.333333333333333
RW-195401,4,4,5,4.333333333333333
RS-194202,3,5,5,4.333333333333333
CB-124154,5,5,3,4.333333333333333
PO-188652,4,4,5,4.333333333333333
CB-20251,5,5,3,4.333333333333333
CR-25801,4,5,4,4.333333333333333
CR-128203,4,4,5,4.333333333333333
CR-128201,4,4,5,4.333333333333333
CR-127303,3,5,5,4.333333333333333
CC-121003,4,5,4,4.333333333333333
CR-127301,3,5,5,4.333333333333333
CC-121451,3,5,5,4.333333333333333
CC-126102,4,4,5,4.333333333333333
CR-125801,5,4,4,4.333333333333333
CC-123701,3,5,5,4.333333333333333
PS-189701,5,3,5,4.333333333333333
RO-97801,5,4,4,4.333333333333333
PS-190452,3,5,5,4.333333333333333
CC-124301,4,4,5,4.333333333333333
RO-197801,3,5,5,4.333333333333333
CP-123401,3,5,5,4.333333333333333
PV-189851,5,4,4,4.333333333333333
CM-126554,5,3,5,4.333333333333333
RM-196754,5,3,5,4.333333333333333
RM-196752,5,4,4,4.333333333333333
CM-124453,5,4,4,4.333333333333333
QJ-192554,5,3,5,4.333333333333333
CK-123253,4,5,4,4.333333333333333
Dp-132404,3,5,5,4.333333333333333
PB-191503,5,4,4,4.333333333333333
KH-166901,3,5,5,4.333333333333333
LC-170502,5,3,5,4.333333333333333
GP-147402,5,4,4,4.333333333333333
GR-145601,4,5,4,4.333333333333333
LB-167952,4,4,5,4.333333333333333
LA-67802,5,4,4,4.333333333333333
GT-147101,4,4,5,4.333333333333333
GT-147103,5,3,5,4.333333333333333
GT-147552,4,5,4,4.333333333333333
GZ-144701,3,5,5,4.333333333333333
GZ-144702,5,3,5,4.333333333333333
KT-164651,3,5,5,4.333333333333333
HA-149051,3,5,5,4.333333333333333
HA-149203,5,5,3,4.333333333333333
HD-147851,4,4,5,4.333333333333333
KN-163903,4,5,4,4.333333333333333
KM-163753,5,5,3,4.333333333333333
KM-162254,5,5,3,4.333333333333333
HG-148453,3,5,5,4.333333333333333
HG-149654,5,4,4,4.333333333333333
HG-150251,3,5,5,4.333333333333333
KH-65101,5,5,3,4.333333333333333
KH-63302,5,5,3,4.333333333333333
KH-166904,5,3,5,4.333333333333333
LD-168552,3,5,5,4.333333333333333
LD-168553,4,5,4,4.333333333333333
LE-168102,3,5,5,4.333333333333333
LP-170951,3,5,5,4.333333333333333
FH-143652,5,3,5,4.333333333333333
LS-172453,4,4,5,4.333333333333333
FM-142903,3,5,5,4.333333333333333
FM-142904,4,5,4,4.333333333333333
LS-172001,5,4,4,4.333333333333333
FO-143051,3,5,5,4.333333333333333
LR-170351,4,4,5,4.333333333333333
LR-169152,3,5,5,4.333333333333333
FP-143204,5,4,4,4.333333333333333
FW-143951,3,5,5,4.333333333333333
FW-143953,4,5,4,4.333333333333333
LF-171851,4,5,4,4.333333333333333
LO-171701,4,4,5,4.333333333333333
GA-147254,5,5,3,4.333333333333333
GB-145301,4,4,5,4.333333333333333
LL-168403,5,5,3,4.333333333333333
LH-170203,4,5,4,4.333333333333333
GH-144251,3,5,5,4.333333333333333
GH-144253,5,5,3,4.333333333333333
GH-144852,4,4,5,4.333333333333333
GH-146651,4,4,5,4.333333333333333
LF-171854,5,4,4,4.333333333333333
KH-166902,3,5,5,4.333333333333333
KH-165101,3,5,5,4.333333333333333
JJ-154453,4,5,4,4.333333333333333
KH-163603,5,5,3,4.333333333333333
JP-155204,5,4,4,4.333333333333333
JD-61502,5,4,4,4.333333333333333
JE-157152,4,5,4,4.333333333333333
JE-61651,4,4,5,4.333333333333333
JF-152951,3,5,5,4.333333333333333
JF-152952,4,4,5,4.333333333333333
JF-153552,5,4,4,4.333333333333333
JM-158651,4,5,4,4.333333333333333
JM-156553,4,5,4,4.333333333333333
JM-155803,3,5,5,4.333333333333333
JM-152504,4,5,4,4.333333333333333
JF-155651,5,3,5,4.333333333333333
JF-155652,3,5,5,4.333333333333333
JG-153104,5,5,3,4.333333333333333
JH-158202,3,5,5,4.333333333333333
JK-160903,5,4,4,4.333333333333333
JK-157304,3,5,5,4.333333333333333
JK-157301,4,4,5,4.333333333333333
JK-156402,5,3,5,4.333333333333333
JH-161801,4,5,4,4.333333333333333
JK-153703,3,5,5,4.333333333333333
JK-153251,3,5,5,4.333333333333333
JH-61803,5,4,4,4.333333333333333
JP-161351,4,4,5,4.333333333333333
JD-161504,4,4,5,4.333333333333333
JR-162101,4,4,5,4.333333333333333
KC-165401,4,4,5,4.333333333333333
KH-163601,4,5,4,4.333333333333333
KF-62852,4,5,4,4.333333333333333
KF-162854,3,5,5,4.333333333333333
KD-164954,3,5,5,4.333333333333333
KD-164952,4,4,5,4.333333333333333
KD-162703,4,5,4,4.333333333333333
KD-162701,4,4,5,4.333333333333333
HW-149354,3,5,5,4.333333333333333
KC-166752,3,5,5,4.333333333333333
HZ-149501,4,4,5,4.333333333333333
HZ-149502,4,5,4,4.333333333333333
JC-53852,5,5,3,4.333333333333333
KB-63152,5,5,3,4.333333333333333
KB-166003,5,4,4,4.333333333333333
KB-162403,5,4,4,4.333333333333333
JA-159701,5,4,4,4.333333333333333
JA-159704,3,5,5,4.333333333333333
JW-152204,4,4,5,4.333333333333333
JB-160002,3,5,5,4.333333333333333
JB-160451,4,4,5,4.333333333333333
JS-160301,3,5,5,4.333333333333333
JC-153852,4,4,5,4.333333333333333
FH-143501,4,5,4,4.333333333333333
FH-142754,4,5,4,4.333333333333333
LT-167651,5,3,5,4.333333333333333
FC-142454,4,5,4,4.333333333333333
DK-133753,5,3,5,4.333333333333333
DL-129251,4,4,5,4.333333333333333
NB-186554,5,5,3,4.333333333333333
DL-129253,4,5,4,4.333333333333333
NB-186552,4,4,5,4.333333333333333
MZ-173353,4,4,5,4.333333333333333
MY-82951,4,5,4,4.333333333333333
MY-182954,4,5,4,4.333333333333333
MY-173804,5,5,3,4.333333333333333
MY-173802,4,4,5,4.333333333333333
MW-182353,4,4,5,4.333333333333333
DM-133454,5,4,4,4.333333333333333
MV-181902,4,5,4,4.333333333333333
MT-180702,3,5,5,4.333333333333333
MS-78302,5,4,4,4.333333333333333
MS-179803,4,5,4,4.333333333333333
MS-179802,3,5,5,4.333333333333333
MS-178302,5,3,5,4.333333333333333
MS-178301,4,5,4,4.333333333333333
DP-130002,3,5,5,4.333333333333333
MS-177103,5,4,4,4.333333333333333
MS-175301,4,4,5,4.333333333333333
DP-131054,5,5,3,4.333333333333333
DK-133751,3,5,5,4.333333333333333
ND-183703,5,5,3,4.333333333333333
ND-184601,5,5,3,4.333333333333333
DE-132551,5,4,4,4.333333333333333
DB-132102,5,3,5,4.333333333333333
DB-132104,5,5,3,4.333333333333333
DB-132702,5,3,5,4.333333333333333
PA-190603,5,4,4,4.333333333333333
ON-187152,4,4,5,4.333333333333333
DB-136601,5,3,5,4.333333333333333
NS-185052,4,5,4,4.333333333333333
NR-185501,5,4,4,4.333333333333333
DD-135702,3,5,5,4.333333333333333
NP-187002,5,4,4,4.333333333333333
DF-131351,5,4,4,4.333333333333333
DK-129852,4,5,4,4.333333333333333
DG-133003,5,4,4,4.333333333333333
NH-186102,4,4,5,4.333333333333333
NG-184302,5,4,4,4.333333333333333
DJ-135103,3,5,5,4.333333333333333
DJ-136301,4,5,4,4.333333333333333
NF-83851,5,5,3,4.333333333333333
DJ-35103,5,4,4,4.333333333333333
DK-128353,4,4,5,4.333333333333333
DK-128951,4,4,5,4.333333333333333
DK-128954,4,4,5,4.333333333333333
MP-179654,4,5,4,4.333333333333333
MP-179653,5,4,4,4.333333333333333
MP-174702,5,3,5,4.333333333333333
ME-173201,5,3,5,4.333333333333333
MG-76801,4,5,4,4.333333333333333
MG-182053,5,4,4,4.333333333333333
MG-181453,5,5,3,4.333333333333333
MG-178753,5,5,3,4.333333333333333
MG-178752,4,4,5,4.333333333333333
MG-178751,4,4,5,4.333333333333333
EH-137654,3,5,5,4.333333333333333
MG-176504,5,4,4,4.333333333333333
EH-139901,4,4,5,4.333333333333333
ME-177251,4,5,4,4.333333333333333
EJ-141551,5,4,4,4.333333333333333
ED-138851,3,5,5,4.333333333333333
EL-137353,4,5,4,4.333333333333333
EL-37351,5,5,3,4.333333333333333
MC-181303,4,5,4,4.333333333333333
MC-178454,5,4,4,4.333333333333333
MC-176053,4,5,4,4.333333333333333
MC-175903,4,5,4,4.333333333333333
MB-180853,3,5,5,4.333333333333333
FA-142301,5,5,3,4.333333333333333
FA-142302,3,5,5,4.333333333333333
LW-169904,4,5,4,4.333333333333333
ED-138852,5,4,4,4.333333333333333
MH-172903,3,5,5,4.333333333333333
MO-179502,5,4,4,4.333333333333333
ML-180402,5,3,5,4.333333333333333
MO-175003,4,5,4,4.333333333333333
MO-175002,3,5,5,4.333333333333333
DS-131804,5,4,4,4.333333333333333
DV-130453,3,5,5,4.333333333333333
DV-134654,5,4,4,4.333333333333333
MM-179204,5,4,4,4.333333333333333
DV-30452,4,5,4,4.333333333333333
MM-172601,3,5,5,4.333333333333333
DW-135852,5,5,3,4.333333333333333
DW-135853,3,5,5,4.333333333333333
ML-177554,5,5,3,4.333333333333333
MH-174402,4,5,4,4.333333333333333
BS-113801,3,5,5,4.333333333333333
MK-181602,5,5,3,4.333333333333333
MK-179053,5,4,4,4.333333333333333
MK-179051,4,4,5,4.333333333333333
MJ-177401,5,4,4,4.333333333333333
EB-137504,4,5,4,4.333333333333333
EB-139301,5,4,4,4.333333333333333
EB-139752,3,5,5,4.333333333333333
